row_number,column_name,error
2,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
4,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
6,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
11,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
16,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
18,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
31,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
32,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
35,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
36,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
38,contract_type,contract_type cannot be blank
42,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
50,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
52,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
56,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
60,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
64,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
71,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
72,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
74,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
79,customer_id,customer id cannot be blank
87,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
90,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
92,customer_id,customer id cannot be blank
92,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
93,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
102,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
104,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
111,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
112,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
115,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
117,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
120,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
121,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
129,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
131,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
132,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
138,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
139,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
141,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
142,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
143,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
145,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
146,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
153,contract_type,contract_type cannot be blank
164,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
167,customer_id,customer id cannot be blank
170,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
171,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
173,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
174,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
177,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
178,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
183,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
189,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
193,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
195,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
196,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
200,customer_id,customer id cannot be blank
202,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
