row_number,column_name,error
1,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
2,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
3,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
4,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
5,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
6,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
7,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
8,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
9,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
10,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
11,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
12,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
13,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
14,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
15,subscription_plan,subscription plan cannot be blank
15,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
16,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
17,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
18,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
19,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
20,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
21,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
22,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
23,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
24,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
25,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
26,avg_session_length_minutes,avg_session_length_minutes cannot be blank
27,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
28,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
29,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
30,subscription_plan,subscription plan cannot be blank
30,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
31,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
32,avg_session_length_minutes,avg_session_length_minutes cannot be blank
33,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
34,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
35,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
36,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
37,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
38,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
39,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
40,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
41,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
42,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
43,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
44,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
45,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
46,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
47,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
48,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
49,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
50,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
51,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
52,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
53,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
54,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
55,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
56,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
57,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
58,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
59,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
60,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
61,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
62,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
63,avg_session_length_minutes,avg_session_length_minutes cannot be blank
64,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
65,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
66,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
67,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
68,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
69,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
70,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
71,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
72,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
73,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
74,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
75,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
76,avg_session_length_minutes,avg_session_length_minutes must be 0 when customer has not logged in
77,subscription_plan,subscription plan cannot be blank
